                          Output from Link Plus Version 2.0 Sun Dec 27 03:27:32 2015

C:\RegPlus\LinkPlus\Configuration\rRLdata10000.cfg
Data = C:\RegPlus\LinkPlus\data\RLdata10000c.csv
Number of Records = 10000

                                             Linking Process
Direct method is employed
Cutoff Value=10.0

Field for Blocking
dummy

                                         Matching Parameters
           Matching Field   m-prob   u-prob      agree   disagree     matching method
                 fname_c1  0.96000  0.00956    4.19604   -2.92121           first name
                 fname_c2  0.96000  0.86719    0.09254   -1.09229           first name
                 lname_c1  0.97000  0.01723    3.66885   -3.17599            last name
                 lname_c2  0.97000  0.97000    0.00000    0.00000            last name
                       bd  0.95000  0.03268    3.06731   -2.69659       generic string
                       bm  0.95000  0.08309    2.21787   -2.64788       generic string
                       by  0.95000  0.01263    3.93276   -2.71527       generic string
Cutoff Value=10.0

m-prob: The probability that a matching variable agrees given that the comparison pair being examined is a match
u-prob: The probability that a matching variable agrees given that comparison pair being examined as a non-match
agree: The agreement weight assigned for an agreement on a given matching variable
disagree: The disagreement weight assigned for a disagreement on a given matching variable
matching method: The method used for computing the weight on a given matching variable.

                                                Match Report
Sorted by score descently (higher score, higher likelihood of being a matched pair)
                                   Number of Matched Pairs =     898

Linkage ID	Set ID	Record #	   id	  fname_c1	  fname_c2	   lname_c1	  lname_c2	bd	bm	  by	 Class	 Score

         1	   897	    7333	 7333	     PETRA	  ELFRIEDE	    HOFMANN	     MEYER	14	 1	1955		
         1	   897	    7718	 7718	     PETRA	  ELFRIEDE	    HOFRANN	     MEYER	14	 1	1955	     0	  29.6

         2	   305	     420	  420	  ANDREANS	      KARL	    HOFMANN	        NA	19	12	1954		
         2	   305	    4139	 4139	   ANDREAS	      KARL	    HOFMANN	        NA	19	12	1954	     0	  28.8

         3	   895	    5930	 5930	 BRIGITETE	   IRMGARD	 ZIMMERMANN	        NA	10	12	1954		
         3	   895	    8834	 8834	  BRIGITTE	   IRMGARD	 ZIMMERMANN	        NA	10	12	1954	     0	  27.9

         4	   894	    1940	 1940	     OLAZF	   ANDREAS	       KOCH	        NA	14	 1	1951		
         4	   894	    1960	 1960	      OLAF	   ANDREAS	       KOCH	        NA	14	 1	1951	     0	  26.5

         5	   893	    5359	 5359	 BRIGILTTE	    MARGOT	     SOMMER	        NA	19	 6	2000		
         5	   893	    8009	 8009	  BRIGITTE	    MARGOT	     SOMMER	        NA	19	 6	2000	     0	  24.7

         6	   892	    5797	 5797	  INGEBORG	        NA	    SCHMIDT	    SCHMID	18	12	1998		
         6	   892	    7488	 7488	  INGEBORG	        NA	    SCHMIDT	    SCHMID	18	12	1994	     0	  24.7

         7	   891	    6657	 6657	  JOHANVNA	        NA	      SAUER	   NEUMANN	 5	11	1969		
         7	   891	    7167	 7167	   JOHANNA	        NA	      SAUER	   NEUMANN	 5	11	1969	     0	  24.1

         8	    14	    1022	 1022	     PETER	      ROLF	 ZIMMERMANN	        NA	21	11	1945		
         8	    14	    4548	 4548	     PETER	      ROLF	 ZIMMERMANN	        NA	21	11	1935	     0	  24.1

         9	   889	    7635	 7635	  BRIGITTE	  BRIGITTE	     BECJER	        NA	31	 1	1964		
         9	   889	    9722	 9722	  BRIGITTE	  BRIGITTE	     BECKER	        NA	31	 1	1964	     0	  23.9

        10	   888	    4698	 4698	     HORST	  MATTHIAS	    SCHWARZ	        NA	19	 1	1957		
        10	   888	    4965	 4965	    HORCST	  MATTHIAS	    SCHWARZ	        NA	19	 1	1957	     0	  23.6

        11	   887	    8238	 8238	     ILSEL	      ANNA	 SCHUMACHER	        NA	25	12	1958		
        11	   887	    9303	 9303	      ILSE	      ANNA	 SCHUMACHER	        NA	25	12	1958	     0	  22.4

        12	   886	    2868	 2868	    STEFAN	        NA	    KRACUSE	    WALTER	20	 2	1954		
        12	   886	    3218	 3218	    STEFAN	        NA	     KRAUSE	    WALTER	20	 2	1954	     0	  22.3

        13	   885	    5185	 5185	     HEIKE	    BIRGIT	   MUELLHER	        NA	18	 7	1967		
        13	   885	    9241	 9241	     HEIKE	    BIRGIT	    MUELLER	        NA	18	 7	1967	     0	  22.3

        14	   424	    5880	 5880	    PETFRA	        NA	 SCHUMACHER	        NA	17	10	1928		
        14	   424	    8575	 8575	     PETRA	        NA	 SCHUMACHER	        NA	17	10	1928	     0	  22.1

        15	   883	    5461	 5461	 CHRISTCEL	        NA	     JAEGER	        NA	14	12	1951		
        15	   883	    7943	 7943	  CHRISTEL	        NA	     JAEGER	        NA	14	12	1951	     0	  22.0

        16	   882	     955	  955	   DIETHER	        NA	     WINTER	        NA	 1	11	2008		
        16	   882	    3723	 3723	    DIETER	        NA	     WINTER	        NA	 1	11	2008	     0	  22.0

        17	   273	    2904	 2904	     PAFUL	        NA	   PFEIFFER	        NA	20	10	1956		
        17	   273	    3478	 3478	      PAUL	        NA	   PFEIFFER	        NA	20	10	1956	     0	  21.9

        18	   880	    5931	 5931	    SABINE	     KARIN	      WEBER	        NA	14	11	1956		
        18	   880	    8179	 8179	    SABINE	     KARIN	      WEBER	        NA	14	11	1959	     0	  21.8

        19	   879	    5748	 5748	     ANNDA	        NA	     FRANKE	        NA	14	12	1992		
        19	   879	    7215	 7215	      ANNA	        NA	     FRANKE	        NA	14	12	1992	     0	  21.8

        20	   878	     709	  709	   CARSTEN	        NA	   FRIERICH	        NA	15	11	1934		
        20	   878	    4578	 4578	   CARSTEN	        NA	  FRIEDRICH	        NA	15	11	1934	     0	  21.8

        21	   877	    8574	 8574	      ERNA	     PETRA	       VOGT	        NA	17	 7	1959		
        21	   877	    9453	 9453	      ERNA	     PETRA	       VOGT	        NA	15	 7	1959	     0	  21.6

        22	   876	     299	  299	    PETEIR	        NA	    KOEHLER	        NA	17	10	1952		
        22	   876	    2086	 2086	     PETER	        NA	    KOEHLER	        NA	17	10	1952	     0	  21.4

        23	   875	    6218	 6218	   MARIWON	        NA	 ZIMMERMANN	        NA	20	12	1961		
        23	   875	    6842	 6842	    MARION	        NA	 ZIMMERMANN	        NA	20	12	1961	     0	  21.2

        24	   874	    9121	 9121	   RENAATE	        NA	 ZIMMERMANN	        NA	10	12	1956		
        24	   874	    9442	 9442	    RENATE	        NA	 ZIMMERMANN	        NA	10	12	1956	     0	  21.2

        25	   873	    1879	 1879	   MARTINL	        NA	       WOLF	        NA	18	10	1953		
        25	   873	    2097	 2097	    MARTIN	        NA	       WOLF	        NA	18	10	1953	     0	  21.2

        26	     9	     492	  492	    HORSZT	        NA	    SCHWARZ	        NA	14	10	9185		
        26	     9	    1798	 1798	     HORST	        NA	    SCHWARZ	        NA	14	10	1985	     0	  21.1

        27	   871	     826	  826	    JOERGD	        NA	    SCHWARZ	        NA	11	 1	1939		
        27	   871	    1120	 1120	     JOERG	        NA	    SCHWARZ	        NA	11	 1	1939	     0	  21.1

        28	   870	    6692	 6692	      RUTH	 MARGARETE	     THOMAS	        NA	 9	 1	1998		
        28	   870	    9541	 9541	     RUTHH	 MARGARETE	     THOMAS	        NA	 9	 1	1998	     0	  21.1

        29	   869	     624	  624	 GUENTTHER	        NA	   HOFFMANN	        NA	11	11	1942		
        29	   869	    2882	 2882	  GUENTHER	        NA	   HOFFMANN	        NA	11	11	1942	     0	  21.0

        30	   868	    2899	 2899	    BERNXD	        NA	      KLEIN	        NA	12	11	2006		
        30	   868	    3629	 3629	     BERND	        NA	      KLEIN	        NA	12	11	2006	     0	  20.9

        31	   867	    6054	 6054	 HANNELORE	        NA	      ERNST	    BECKER	11	 8	1933		
        31	   867	    9343	 9343	 HANNELORE	        NA	      ERNST	    BECKER	11	 6	1933	     0	  20.9

        32	   866	    5345	 5345	 WALTTRAUD	        NA	     BECKER	        NA	14	11	1978		
        32	   866	    5374	 5374	  WALTRAUD	        NA	     BECKER	        NA	14	11	1978	     0	  20.8

        33	   865	    1193	 1193	    MARKUS	   HARTMUT	    NEUMANN	        NA	31	 7	1948		
        33	   865	    3277	 3277	   MARKGUS	   HARTMUT	    NEUMANN	        NA	31	 7	1948	     0	  20.7

        34	   354	    5823	 5823	  SUSAZNNE	        NA	      WEBER	        NA	19	10	1948		
        34	   354	    9367	 9367	   SUSANNE	        NA	      WEBER	        NA	19	10	1948	     0	  20.7

        35	   169	    6836	 6836	    PETRAM	        NA	      WEBER	        NA	15	10	1992		
        35	   169	    9758	 9758	     PETRA	        NA	      WEBER	        NA	15	10	1992	     0	  20.5

        36	   862	    3028	 3028	    HELMUT	        NA	     BERGER	  SCHAEFER	31	 7	1964		
        36	   862	    3052	 3052	   HELMPUT	        NA	     BERGER	  SCHAEFER	31	 7	1964	     0	  20.5

        37	   861	    3756	 3756	   THOMAVS	        NA	    RICHTER	        NA	14	10	1980		
        37	   861	    4019	 4019	    THOMAS	        NA	    RICHTER	        NA	14	10	1980	     0	  20.3

        38	   860	     106	  106	    DIETER	        NA	    SCHAEFR	        NA	12	12	1952		
        38	   860	     398	  398	    DIETER	        NA	   SCHAEFER	        NA	12	12	1952	     0	  20.3

        39	   859	    9407	 9407	      ANJA	        NA	     ENGELM	        NA	16	10	1970		
        39	   859	    9887	 9887	      ANJA	        NA	      ENGEL	        NA	16	10	1970	     0	  20.2

        40	   858	    8203	 8203	   GIESELA	        NA	    KOEHLER	        NA	 1	10	1995		
        40	   858	    8833	 8833	    GISELA	        NA	    KOEHLER	        NA	 1	10	1995	     0	  20.1

        41	   857	    1375	 1375	    WALTER	    RAINER	      MEYER	        NA	18	 9	1935		
        41	   857	    3790	 3790	    WALTER	    RAINER	      MEYER	        NA	17	 9	1935	     0	  20.1

        42	   856	    3737	 3737	   MICHAEL	        NA	    MUELDER	    SEIDEL	 8	10	1975		
        42	   856	    4177	 4177	   MICHAEL	        NA	    MUELLER	    SEIDEL	 8	10	1975	     0	  20.1

        43	   311	    7493	 7493	 ELISABETH	        NA	     BECEKR	        NA	11	 1	1985		
        43	   311	    8010	 8010	 ELISABETH	        NA	     BECKER	        NA	11	 1	1985	     0	  20.1

        44	   854	    6796	 6796	CHRISTIENE	    GISELA	    MUELLER	        NA	 2	11	1956		
        44	   854	    9916	 9916	 CHRISTINE	    GISELA	    MUELLER	        NA	 2	11	1956	     0	  20.0

        45	   853	     430	  430	   GERHARD	    WERNER	     SCHULZ	        NA	20	10	1937		
        45	   853	     796	  796	   GERHARD	    WERNIR	     SCHUKZ	        NA	20	10	1937	     0	  19.9

        46	   852	    3268	 3268	     ERNST	        NA	   SCHUBERT	        NA	30	 1	1925		
        46	   852	    3480	 3480	     ERNST	        NA	   SCHUBERT	        NA	30	 1	1975	     0	  19.7

