"id","fname_c1","fname_c2","lname_c1","lname_c2","by","bm","bd"
"801","FRANK","NA","BECKER","NA","1961","6","19"
"601","CHRISTIAN","NA","ENGEL","NA","1932","5","12"
"2951","MARTIN","PETER","SCHMIDT","NA","1974","8","18"
"7751","ANDREA","NA","RICHTER","NA","1961","1","22"
"151","WERNER","NA","BECKER","NA","1994","9","21"
"6351","GISELA","NA","KAISER","NA","2000","4","11"
"7351","SIGRID","NA","LANGE","NA","2007","5","1"
"7601","CLAUDIA","NA","SIMON","NA","1958","9","26"
"2201","BERNHARD","NA","MUELLER","NA","1951","1","27"
"8601","GERDA","NA","MUELLER","NA","1957","9","4"
"2851","HARALD","NA","RICHTER","NA","1940","8","28"
"201","MICHAEL","NA","SCHMITZ","NA","2002","5","10"
"3851","JENS","NA","KELLER","NA","1980","1","11"
"1","FRANK","NA","MUELLER","NA","1967","9","27"
"4601","JUERGEN","RALF","KLEIN","NA","1968","9","15"
"5651","ELISABETH","NA","SCHROEDER","NA","1959","3","15"
"401","HANS","NA","WEBER","NA","2008","5","23"
"6601","STEFANIE","NA","HOFFMANN","NA","1930","2","24"
"5751","HERTHA","BRIGITTE","WINTER","NA","2005","7","10"
"4501","ULRICH","NA","KAISER","NA","1992","7","7"
"7201","PETRA","NA","WALTER","NA","1968","6","18"
"5251","BARBARA","NA","HOFFMANN","NA","1942","7","1"
"6751","CHRISTIANE","NA","KLEIN","NA","1986","10","16"
"5351","KERSTIN","NA","SCHMID","NA","1994","6","4"
"8101","URSULA","NA","MUELLER","NA","1936","12","1"
"8301","URSULA","NA","MUELLER","NA","1993","2","10"
"1701","HORST","NA","ENGEL","NA","1944","9","3"
"8851","MARTINA","NA","BAUMANN","NA","1949","7","28"
"8751","SABINE","NA","MEYER","NA","1988","5","1"
"1301","JAN","NA","SCHMIDT","NA","1945","6","26"
"2301","MICHAEL","NA","SCHUSTER","NA","1965","4","17"
"7051","CHRISTINE","NA","SCHMIDT","NA","1928","12","23"
"6201","MONIKA","NA","KOEHLER","NA","2006","7","3"
"4101","MICHAEL","NA","SCHOLZ","NA","1955","5","12"
"1451","UWE","NA","LANGE","NA","2003","4","15"
"2001","THOMQAS","NA","LORENZ","NA","1958","8","30"
"2451","HORST","NA","ZIMMERMANN","NA","1974","9","21"
"6101","CHRISTA","NA","SEIDEL","NA","2007","7","6"
"4351","MICHAEL","NA","FRANKE","NA","1982","3","16"
"9601","MARTHA","NA","MEYER","NA","1964","7","4"
"7651","TANJA","NA","MUELLER","NA","1938","1","15"
"4851","SIEGFRIED","NA","HOFFMANN","NA","2001","11","5"
"8051","GISELA","NA","KELLER","NA","1932","8","8"
"7451","SABINE","NA","HEINRICH","NA","1941","2","11"
"4451","WERNER","NA","PFEIFFER","NA","1975","6","4"
"2251","UWE","NA","RICHTER","NA","1987","9","11"
"9701","ANDREA","NA","RICHTER","NA","1929","11","26"
"9201","ELKE","NA","LUDWIG","NA","1981","3","28"
"4251","GUENTHER","NA","SCHULZE","NA","1954","10","14"
"701","DIETER","NA","LANGE","NA","1964","4","8"
"2101","MATTHIAS","NA","WAGNER","NA","1937","12","27"
"7851","MARTINA","NA","GROSS","NA","1968","10","10"
"8501","ANDREA","NA","MEYER","NA","1939","5","22"
"4151","MARCO","NA","SCHMID","NA","1961","7","10"
"9301","STEFANIE","NA","BECK","NA","1949","8","11"
"7251","KATHRIN","NA","WOLF","NA","1957","12","10"
"5601","INGRID","NA","BAUER","NA","1992","11","5"
"3251","HORST","NA","WERNER","NA","1970","5","12"
"3101","UWE","NA","NEUMANN","NA","1986","5","3"
"4651","KAI","NA","KLEIN","NA","1981","12","18"
"301","THOMAS","NA","BOEHM","NA","1964","1","10"
"4551","BERND","NA","SCHULZ","NA","1975","7","7"
"5701","SABINE","NA","SCHMIDT","NA","1985","7","2"
"8351","JUTTA","NA","KLEIN","NA","1976","6","9"
"5501","RENATE","NA","SCHNEIDER","NA","1983","4","12"
"4751","ANDREAS","NA","LORENZ","NA","1978","8","14"
"3951","ROLF","NA","POHL","NA","1952","11","8"
"8451","KARIN","NA","WOLF","NA","2001","9","16"
"5401","KATHARINA","NA","MEYER","NA","1966","9","1"
"3801","OLIVER","NA","SCHMITZ","NA","2000","9","28"
"1601","MARTIN","NA","MUELLER","NA","1971","5","29"
"3501","HOLGER","NA","HARTMANN","NA","1954","3","29"
"3601","WERNER","NA","MUELLER","NA","1989","5","27"
"8201","MARTHA","NA","SCHULZ","NA","1936","1","6"
"3701","SVEN","NA","BAUER","NA","1995","1","23"
"451","HEINRICH","NA","MUELLER","NA","2002","1","10"
"8901","MARTINA","NA","SCHMIDT","NA","1948","9","27"
"1801","THORSTEN","NA","SCHNEIDER","NA","1950","8","29"
"4051","OTTO","NA","POHL","NA","1938","6","6"
"551","STEFAN","NA","KOEHLER","NA","1985","1","12"
"2551","UWE","NA","HERRMANN","NA","1956","9","7"
"5301","CHRISTEL","NA","WAGNER","NA","1983","12","6"
"851","DIETER","NA","WEBER","NA","1978","7","12"
"951","HORST","NA","SCHOLZ","NA","1930","11","14"
"1401","HORST","NA","SCHMIDT","NA","1984","2","5"
"5901","PETRSA","NA","BAUER","NA","1969","7","8"
"5201","BRIGITTE","NA","KAISER","NA","1953","10","10"
"5001","KARIN","NA","LANGE","NA","1971","10","29"
"1201","HELMUT","NA","WINTER","NA","1967","1","26"
"8801","CLAUDIA","NA","BECKER","NA","1937","3","4"
"51","MATTHIAS","NA","MUELLLER","NA","1993","1","24"
"5101","KARIN","NA","GRAF","NA","1995","12","30"
"2351","PETER","NA","SCHNEODER","NA","1928","5","8"
"8701","JOHANNA","NA","BRAUN","NA","1940","9","16"
"1001","FRANK","NA","WEBER","NA","1939","2","19"
"4301","ANDREAS","PETER","VOIGT","NA","1955","5","8"
"4401","THORSTEN","NA","MEYER","NA","1931","12","16"
"5851","ANDREA","KARIN","KOCH","NA","1980","12","5"
"9551","ANNETTE","NA","FRIEDRICH","NA","1987","11","20"
"7951","GABRIELE","NA","ROTH","JUNG","1973","2","12"
"9451","MARION","NA","LANG","NA","1991","3","3"
"1101","CARSTEN","NA","KUHN","NA","1966","12","17"
"7401","URSULA","NA","KELLER","NA","1963","7","1"
"9751","RENATE","NA","WALTER","NA","1970","9","18"
"9651","SABINE","NA","BOEHM","NA","1940","11","29"
"2151","MARK","NA","SCHAEFER","NA","1994","11","13"
"3151","GUENTHER","NA","KLEIN","NA","1980","5","31"
"7801","GISELA","NA","FISCHER","NA","1979","12","22"
"3201","HANS","NA","FRANKE","NA","1973","10","28"
"6151","CHRISTA","NA","MUELLER","NA","2008","5","7"
"2651","ANDREAS","NA","SCHMIRZ","NA","1988","12","6"
"9251","SABINE","NA","SCHMITT","NA","1980","8","1"
"2751","MARTIN","NA","BUSCH","NA","1962","3","28"
"1901","SEBASTIAN","NA","HEINRICH","NA","2004","6","25"
"9351","MARTINA","NA","MOELLER","NA","1955","10","19"
"3551","THOMAS","NA","MOELLER","NA","1951","7","13"
"3351","HEINZ","NA","HEINRICH","NA","1969","8","1"
"5551","ANGELIKA","NA","KRUEGER","NA","1961","6","3"
"9151","SUSANNE","NA","SCHMID","NA","1985","2","25"
"3001","GEORG","KLAUS","KLEIN","NA","1966","5","9"
"7551","HILDEGARD","NA","FISCHER","HAAS","1966","6","28"
"9051","BAERBEL","NA","FISCHER","NA","1976","8","7"
"5451","ANJA","NA","MAYER","NA","1964","2","15"
"3401","PETER","NA","BERGMANN","NA","1975","10","10"
"6551","WALTRAUD","NA","WERNER","NA","1971","12","2"
"9801","MONIKA","NA","WALTER","NA","2000","11","29"
"6801","RUTH","NA","SCHUSTER","FRANKE","1935","11","9"
"7101","GISEPLA","NA","WEBER","NA","1979","12","25"
"8551","PETRA","NA","SCHMID","NA","1929","12","4"
"6301","JOHCANNA","NA","OTTO","NA","1967","0","1"
"6401","GISELA","NA","VOGEL","NA","1966","8","2"
"8651","KERSTIN","NA","KUHN","NA","1961","4","19"
"6951","MARIANNE","NA","WERNER","NA","1952","8","13"
"9901","SUSANNE","NA","JAEGER","NA","1934","4","22"
"5801","IRMGARD","NA","WEBER","NA","1970","2","1"
"1501","CHRISTIAN","NA","BAUER","NA","1992","7","30"
"4801","UWE","NA","WERNER","NA","1950","6","27"
"8951","HELGA","NA","SCHWARZ","NA","1948","12","30"
"6001","BARBARA","NA","SCHAEFER","NA","1972","5","11"
"101","WERNER","NA","SIMON","NA","1971","4","29"
"5151","ANNA","NA","KOERTIG","NA","1967","1","18"
"5051","HELGA","NA","ALBRECHT","NA","1981","5","23"
"5951","MONIKA","NA","WINKLER","NA","2005","8","17"
"4951","WOLFGANG","NA","KELLER","MUELLER","1977","3","17"
"7701","ANNA","NA","MUELLER","NA","1992","4","5"
"1351","SVEN","NA","SCHUMACHER","NA","1991","7","30"
"2701","PETER","NA","KUHN","NA","1981","2","20"
"2051","STEFAN","NA","KLEIN","NA","1984","6","20"
"2601","CHRISTIAN","NA","FRANK","NA","1970","11","18"
"1251","STEFAN","NA","KRAUSE","NA","1995","11","4"
"7301","MARTHA","NA","ERNST","NA","1957","11","8"
"4001","STEFAN","NA","VOIGT","NA","1962","12","6"
"1051","KLAUS","NA","WEBER","NA","1980","8","1"
"2401","ANDREAS","NA","KELLER","NA","1999","8","29"
"7501","HELGA","NA","BUSXH","NA","2004","7","17"
"9101","SILVIA","NA","SCHULZE","NA","2005","12","29"
"9001","KATHRIN","NA","FRIESRICH","NA","1930","7","25"
"1151","HEIKO","NA","BRAUN","NA","2000","7","14"
"3051","WOLFGANG","NA","BRAUN","NA","1968","11","18"
"7901","CHRISTINE","HELGA","VOIGT","NA","1965","5","28"
"2901","DIETER","NA","SCHROEDER","WOLF","1954","1","22"
"2501","WOLFGANG","NA","MAYER","NA","2001","6","5"
"6451","ANJA","NA","HAHN","NA","1933","6","30"
"2801","KLAUS","NA","FISCHER","NA","1963","3","13"
"9501","ANNA","NA","HOFMANN","NA","1951","11","29"
"3301","JOERG","NA","FUCHS","NA","1981","11","16"
"1751","HANS","NA","FISCHER","NA","1967","6","9"
"3651","STEFAN","NA","LANGE","NA","1969","11","14"
"3451","BERND","NA","LORENZ","NA","1978","6","10"
"1851","CHRISTIAN","NA","DIETRICH","NA","1941","6","29"
"501","PETER","NA","SCHNEIDER","NA","1956","3","4"
"6501","BIRGIT","NA","WEBER","NA","1934","6","2"
"6251","ELKE","NA","SCHNEIDER","NA","1996","2","19"
"9401","SABINE","NA","BAUER","BRAUN","1958","5","29"
"8251","SILVIA","NA","MUELLER","NA","1998","7","30"
"1651","HELMUT","NA","SCHUMACHER","NA","1967","7","13"
"6051","MARIA","NA","SCHULZE","NA","1940","7","18"
"6651","CHRISTA","NA","MUELLER","NA","1977","4","24"
"8151","BIRGIT","NA","BOEHM","NA","1972","9","12"
"1551","ROLF","NA","KLEIN","NA","1995","3","6"
"3901","THOMAS","NA","BERGER","NA","1984","3","23"
"6701","URSULA","NA","WINTEHR","NA","1944","11","23"
"7001","MARION","NA","SOMMER","NA","1928","4","4"
"4701","MICHAEL","NA","GROSS","NA","1983","3","16"
"1951","WALTER","NA","SCHMID","NA","1963","3","17"
"4901","PETER","NA","MAYER","NA","1987","4","18"
"3751","KLAUS","NA","KUEHN","NA","1968","9","14"
"9851","ANTJE","NA","BECKRR","NA","1955","9","10"
"6851","ANJA","NA","SCHUSTER","NA","2005","6","5"
"9951","SILVIA","NA","LUDWIG","NA","1964","7","31"
"6901","PETRA","NA","FRIEDRICH","NA","1951","7","8"
"251","ANDREAS","NA","SCHULTE","NA","1962","2","18"
"7151","DANIELA","NA","ZIMMERMANN","NA","1941","3","15"
"8401","MONIKA","NA","MUELLER","NA","1982","8","23"
"4201","THOMAS","NA","ROTH","NA","1944","6","14"
"751","KLAUS","NA","MARTIN","NA","1979","1","17"
"651","THOMAS","NA","SCHULZ","NA","1968","1","24"
"351","CARSTEN","NA","MARTIN","NA","1990","3","2"
"8001","FRIEDA","NA","KRAUS","NA","1979","6","19"
"901","RUEDIGER","MICHAEL","SCHMITZ","NA","1968","12","26"
"802","HEINRICH","NA","MUELLER","NA","1933","8","15"
"4202","CHRISTOPH","NA","SCHWARZ","NA","1943","7","14"
"2002","HANS","NA","FRIEDRICH","NA","1943","9","15"
"7752","SUSANNE","NA","BRAUN","NA","1964","9","29"
"152","RENE","NA","WALTER","NA","1952","3","24"
"6352","ANDREA","NA","FUCHS","NA","1938","10","5"
"2952","HORST","NA","MUELLER","NA","1959","6","17"
"7352","INGRID","NA","WALTER","NA","1996","9","23"
"7602","MARION","NA","MEIER","NA","1948","5","15"
"2852","JUERGEN","NA","BERGMANN","NA","1960","6","26"
"2202","GUENTHER","NA","KRUEGER","NA","1952","3","4"
"202","BERND","NA","BECKER","NA","1944","7","18"
"602","KLAUS","NA","FISCHER","NA","1964","12","7"
"3852","GERHARD","NA","FISCHER","NA","1946","10","22"
"4602","ANDRE","NA","BRANDT","NA","1950","9","28"
"2","MARTIN","NA","SCHWARZ","NA","1967","2","17"
"5652","SILVIA","NA","KOERTIG","NA","1930","3","28"
"5752","HELGA","NA","KRAUSE","NA","1992","12","15"
"6602","MARMION","NA","SOMMER","NA","1928","4","4"
