"@sourceA","fname_c1@sourceA","fname_c2@sourceA","lname_c1@sourceA","lname_c2@sourceA","by@sourceA","bm@sourceA","bd@sourceA","@sourceB","fname_c1@sourceB","fname_c2@sourceB","lname_c1@sourceB","lname_c2@sourceB","by@sourceB","bm@sourceB","bd@sourceB","Confidence"
"1","FRANK","NA","MUELLER","NA","1967","9","27","1","FRANK","NA","MUELLER","NA","1967","9","27","100"
"2","MARTIN","NA","SCHWARZ","NA","1967","2","17","2","MARTIN","NA","SCHWARZ","NA","1967","2","17","100"
"3","HERBERT","NA","ZIMMERMANN","NA","1961","11","6","3","HERBERT","NA","ZIMMERMANN","NA","1961","11","6","100"
"4","HANS","NA","SCHMITT","NA","1945","8","14","4","HANS","NA","SCHMITT","NA","1945","8","14","100"
"5","UWE","NA","KELLER","NA","2000","7","5","5","UWE","NA","KELLER","NA","2000","7","5","100"
"6","DANIEL","NA","HEINRICH","NA","1967","5","6","6","DANIEL","NA","HEINRICH","NA","1967","5","6","100"
"7","MARTIN","NA","ZIMMERMANN","NA","1982","11","2","7","MARTIN","NA","ZIMMERMANN","NA","1982","11","2","100"
"8","ANDREAS","BENJAMIN","BERGMANN","NA","1989","9","13","8","ANDREAS","BENJAMIN","BERGMANN","NA","1989","9","13","100"
"9","DIETER","NA","SCHUSTER","NA","1974","4","19","9","DIETER","NA","SCHUSTER","NA","1974","4","19","100"
"10","MANFRED","NA","SCHMIDT","NA","1979","7","11","10","MANFRED","NA","SCHMIDT","NA","1979","7","11","100"
"11","PATRICK","NA","WOLF","NA","1988","8","22","11","PATRICK","NA","WOLF","NA","1988","8","22","100"
"12","STEFAN","NA","RICHTER","NA","1943","3","22","12","STEFAN","NA","RICHTER","NA","1943","3","22","100"
"13","KLAUS","NA","WINKLER","NA","1974","8","22","13","KLAUS","NA","WINKLER","NA","1974","8","22","100"
"14","GERHARD","NA","WALTER","NA","1938","8","15","14","GERHARD","NA","WALTER","NA","1938","8","15","100"
"15","WERNER","HELMUT","LORENZ","NA","1958","9","18","15","WERNER","HELMUT","LORENZ","NA","1958","9","18","100"
"16","THORSTEN","NA","LANGE","NA","1965","3","29","16","THORSTEN","NA","LANGE","NA","1965","3","29","100"
"17","KURT","NA","MUELLER","NA","1966","9","12","17","KURT","NA","MUELLER","NA","1966","9","12","100"
"18","RICHARD","NA","SCHMIDT","NA","1984","1","31","18","RICHARD","NA","SCHMIDT","NA","1984","1","31","100"
"19","ANDREAS","NA","SCHAEFER","NA","1930","4","29","19","ANDREAS","NA","SCHAEFER","NA","1930","4","29","100"
"20","KAI","NA","HARTMANN","NA","1963","11","26","20","KAI","NA","HARTMANN","NA","1963","11","26","100"
"21","GERHARD","NA","VOGEL","NA","1986","7","8","21","GERHARD","NA","VOGEL","NA","1986","7","8","100"
"22","GUENTHER","NA","MUELLER","NA","1994","11","17","22","GUENTHER","NA","MUELLER","NA","1994","11","17","100"
"23","CARSTEN","NA","MUELLER","WAGNER","1957","5","27","23","CARSTEN","NA","MUELLER","WAGNER","1957","5","27","100"
"24","MARCO","NA","ALBRECHT","NA","2008","11","7","24","MARCO","NA","ALBRECHT","NA","2008","11","7","100"
"25","PETER","NA","KRAEMER","NA","1929","8","7","25","PETER","NA","KRAEMER","NA","1929","8","7","100"
"26","PATRICK","NA","WEBER","NA","2006","12","2","26","PATRICK","NA","WEBER","NA","2006","12","2","100"
"27","WOLFGANG","ERNST","GUENTHER","NA","1929","10","12","27","WOLFGANG","ERNST","GUENTHER","NA","1929","10","12","100"
"28","JOACHIM","NA","KUEHN","NA","1994","11","21","28","JOACHIM","NA","KUEHN","NA","1994","11","21","100"
"29","ANDREAS","NA","WALTER","NA","1954","11","6","29","ANDREAS","NA","WALTER","NA","1954","11","6","100"
"30","KURT","NA","SCHMITT","NA","1968","12","22","30","KURT","NA","SCHMITT","NA","1968","12","22","100"
"31","MARTIN","NA","FISCHER","NA","1996","7","5","31","MARTIN","NA","FISCHER","NA","1996","7","5","100"
"32","GERHARD","NA","SCHMITT","NA","2000","1","31","32","GERHARD","NA","SCHMITT","NA","2000","1","31","100"
"33","JAN","NA","THOMAS","BECKER","2002","12","22","33","JAN","NA","THOMAS","BECKER","2002","12","22","100"
"34","BERND","NA","MAIER","NA","1998","8","20","34","BERND","NA","MAIER","NA","1998","8","20","100"
"35","ANDREAS","NA","WEBER","NA","1955","3","1","35","ANDREAS","NA","WEBER","NA","1955","3","1","100"
"36","CHRISTIAN","NA","BECK","NA","1967","10","3","36","CHRISTIAN","NA","BECK","NA","1967","10","3","100"
"37","THOMAS","NA","SOMMER","NA","1986","9","5","37","THOMAS","NA","SOMMER","NA","1986","9","5","100"
"38","HORSTX","NA","MUELLER","NA","1991","9","7","38","HORSTX","NA","MUELLER","NA","1991","9","7","100"
"39","MARK","NA","MUELLER","NA","1965","2","9","39","MARK","NA","MUELLER","NA","1965","2","9","100"
"40","STEFAN","NA","SCHUMACHER","NA","1983","5","19","40","STEFAN","NA","SCHUMACHER","NA","1983","5","19","100"
"41","CHRISTOPH","NA","MAYER","NA","2006","3","29","41","CHRISTOPH","NA","MAYER","NA","2006","3","29","100"
"42","MARKUS","NA","SCHULZ","NA","1942","9","29","42","MARKUS","NA","SCHULZ","NA","1942","9","29","100"
"43","HEINRICH","NA","HUBER","NA","1977","1","14","43","HEINRICH","NA","HUBER","NA","1977","1","14","100"
"44","PETER","NA","KUHN","NA","1981","3","20","44","PETER","NA","KUHN","NA","1981","3","20","100"
"45","WOLFGANG","NA","KAISER","NA","1934","12","26","45","WOLFGANG","NA","KAISER","NA","1934","12","26","100"
